name,description,processed_tokens,tags,views,comments
"Frank Gehry: A master architect asks, Now what?","In a wildly entertaining discussion with Richard Saul Wurman, architect Frank Gehry gives TEDsters his take on the power of failure, his recent buildings, and the all-important ""Then what?"" factor.","['wildly', 'entertaining', 'discussion', 'richard', 'saul', 'wurman', 'architect', 'frank', 'gehry', 'give', 'tedsters', 'power', 'failure', 'recent', 'building', 'important', 'factor']","['architecture', 'business', 'creativity', 'culture', 'design', 'interview', 'invention']",959382,39
Siegfried Woldhek: The search for the true face of Leonardo,<i>Mona Lisa</i> is one of the best-known faces on the planet. But would you recognize an image of Leonardo da Vinci? Illustrator Siegfried Woldhek uses some thoughtful image-analysis techniques to find what he believes is the true face of Leonardo.,"['<', '>', 'mona', 'lisa</i', '>', 'well', 'know', 'face', 'planet', 'recognize', 'image', 'leonardo', 'da', 'vinci', 'illustrator', 'siegfried', 'woldhek', 'use', 'thoughtful', 'image', 'analysis', 'technique', 'find', 'believe', 'true', 'face', 'leonardo']","['art', 'demo', 'design', 'entertainment', 'history', 'technology']",1224127,82
Robin Morgan: 4 powerful poems about Parkinson's and growing older,"When poet Robin Morgan found herself facing Parkinson’s disease, she distilled her experiences into these four quietly powerful poems — meditating on age, loss, and the simple power of noticing.","['poet', 'robin', 'morgan', 'find', 'face', 'parkinson', 'disease', 'distil', 'experience', 'quietly', 'powerful', 'poem', 'meditate', 'age', 'loss', 'simple', 'power', 'noticing']","['aging', 'disease', 'health', 'personal growth', 'poetry']",1004539,12
Ray Kurzweil: The accelerating power of technology,"Inventor, entrepreneur and visionary Ray Kurzweil explains in abundant, grounded detail why, by the 2020s, we will have reverse-engineered the human brain and nanobots will be operating your consciousness.","['inventor', 'entrepreneur', 'visionary', 'ray', 'kurzweil', 'explain', 'abundant', 'ground', 'detail', '2020s', 'reverse', 'engineer', 'human', 'brain', 'nanobot', 'operate', 'consciousness']","['TED Brain Trust', 'biotech', 'business', 'culture', 'future', 'invention', 'robots', 'science', 'technology']",2434344,233
Ameera Harouda: Why I put myself in danger to tell the stories of Gaza,"When Ameera Harouda hears the sounds of bombs or shells, she heads straight towards them. ""I want to be there first because these stories should be told,"" says Gaza's first female ""fixer,"" a role that allows her to guide journalists into chaotic, war zone scenarios in her home country, which she still loves despite its terrible situation. Find out what motivates Harouda to give a voice to Gaza's human suffering in this unforgettable talk.","['ameera', 'harouda', 'hear', 'sound', 'bomb', 'shell', 'head', 'straight', 'want', 'story', 'tell', 'say', 'gaza', 'female', 'fixer', 'role', 'allow', 'guide', 'journalist', 'chaotic', 'war', 'zone', 'scenario', 'home', 'country', 'love', 'despite', 'terrible', 'situation', 'find', 'motivate', 'harouda', 'voice', 'gaza', 'human', 'suffering', 'unforgettable', 'talk']","['choice', 'communication', 'fear', 'film', 'journalism', 'media', 'poverty', 'security', 'violence', 'war', 'women']",961423,139
Marlene Zuk: What we learn from insects' sex lives,"In this enlightening, funny talk, Marlene Zuk shares just some of the ways that insects are truly astonishing -- and not least for the creative ways they have sex.","['enlightening', 'funny', 'talk', 'marlene', 'zuk', 'share', 'way', 'insect', 'truly', 'astonishing', 'creative', 'way', 'sex']","['animals', 'biodiversity', 'biology', 'gender', 'humor', 'insects', 'science', 'sex']",1441565,27
Mary Bassett: Why your doctor should care about social justice,"In Zimbabwe in the 1980s, Mary Bassett witnessed the AIDS epidemic firsthand, and she helped set up a clinic to treat and educate local people about the deadly virus. But looking back, she regrets not sounding the alarm for the real problem: the structural inequities embedded in the world's political and economic organizations, inequities that make marginalized people more vulnerable. These same structural problems exist in the United States today, and as New York City's Health Commissioner, Bassett is using every chance she has to rally support for health equity and speak out against racism. ""We don't have to have all the answers to call for change,"" she says. ""We just need courage.""","['zimbabwe', '1980', 'mary', 'bassett', 'witness', 'aids', 'epidemic', 'firsthand', 'help', 'set', 'clinic', 'treat', 'educate', 'local', 'people', 'deadly', 'virus', 'look', 'regret', 'sound', 'alarm', 'real', 'problem', 'structural', 'inequity', 'embed', 'world', 'political', 'economic', 'organization', 'inequity', 'marginalize', 'people', 'vulnerable', 'structural', 'problem', 'exist', 'united', 'states', 'today', 'new', 'york', 'city', 'health', 'commissioner', 'bassett', 'chance', 'rally', 'support', 'health', 'equity', 'speak', 'racism', 'answer', 'change', 'say', 'need', 'courage']","['AIDS', 'Africa', 'TEDMED', 'United States', 'big problems', 'disease', 'global issues', 'government', 'health', 'health care', 'illness', 'inequality', 'medical research', 'medicine', 'public health', 'race', 'social change', 'virus']",1072558,57
Andrew Stanton: The clues to a great story,"Filmmaker Andrew Stanton (""Toy Story,"" ""WALL-E"") shares what he knows about storytelling -- starting at the end and working back to the beginning. Contains graphic language ... (Note: this talk is not available for download.)","['filmmaker', 'andrew', 'stanton', 'toy', 'story', 'wall', 'e', 'share', 'know', 'storytelle', 'start', 'end', 'work', 'beginning', 'contain', 'graphic', 'language', 'note', 'talk', 'available', 'download']","['animation', 'art', 'entertainment', 'film', 'storytelling']",2702500,247
Steve Jurvetson: Model rocketry,"Moneyman Steve Jurvetson takes TEDsters inside his awesome hobby -- launching model rockets –- by sharing some gorgeous photos, his infectious glee and just a whiff of danger.","['moneyman', 'steve', 'jurvetson', 'take', 'tedsters', 'inside', 'awesome', 'hobby', 'launch', 'model', 'rocket', 'share', 'gorgeous', 'photo', 'infectious', 'glee', 'whiff', 'danger']","['TED Brain Trust', 'children', 'design', 'entertainment', 'parenting', 'photography', 'rocket science', 'space', 'toy']",412154,26
Michael Pawlyn: Using nature's genius in architecture,"How can architects build a new world of sustainable beauty? By learning from nature. Michael Pawlyn describes three habits of nature that could transform architecture and society: radical resource efficiency, closed loops, and drawing energy from the sun.","['architect', 'build', 'new', 'world', 'sustainable', 'beauty', 'learn', 'nature', 'michael', 'pawlyn', 'describe', 'habit', 'nature', 'transform', 'architecture', 'society', 'radical', 'resource', 'efficiency', 'closed', 'loop', 'draw', 'energy', 'sun']","['architecture', 'biomimicry', 'design', 'science and art', 'sustainability']",1740568,229
Dean Kamen: To invent is to give,Inventor Dean Kamen lays out his argument for the Segway and offers a peek into his next big ideas (portable energy and water purification for developing countries).,"['inventor', 'dean', 'kamen', 'lay', 'argument', 'segway', 'offer', 'peek', 'big', 'idea', 'portable', 'energy', 'water', 'purification', 'develop', 'country']","['business', 'cars', 'industrial design', 'innovation', 'invention', 'robots', 'science', 'social change', 'sustainability', 'technology', 'transportation']",680134,130
Adam Savage: My obsession with objects and the stories they tell,"Adam Savage talks about his fascination with the dodo bird, and how it led him on a strange and surprising double quest. It's an entertaining adventure through the mind of a creative obsessive.","['adam', 'savage', 'talk', 'fascination', 'dodo', 'bird', 'lead', 'strange', 'surprising', 'double', 'quest', 'entertaining', 'adventure', 'mind', 'creative', 'obsessive']","['animals', 'art', 'birds', 'creativity', 'entertainment', 'exploration', 'film', 'technology']",1697809,104
Nagin Cox: What time is it on Mars?,"Nagin Cox is a first-generation Martian. As a spacecraft engineer at NASA's Jet Propulsion Laboratory, Cox works on the team that manages the United States' rovers on Mars. But working a 9-to-5 on another planet -- whose day is 40 minutes longer than Earth's -- has particular, often comical challenges.","['nagin', 'cox', 'generation', 'martian', 'spacecraft', 'engineer', 'nasa', 'jet', 'propulsion', 'laboratory', 'cox', 'work', 'team', 'manage', 'united', 'states', 'rover', 'mars', 'work', '9', 'to-5', 'planet', 'day', '40', 'minute', 'long', 'earth', 'particular', 'comical', 'challenge']","['Mars', 'NASA', 'TEDx', 'United States', 'adventure', 'aircraft', 'collaboration', 'communication', 'discovery', 'engineering', 'exploration', 'future', 'humanity', 'innovation', 'programming', 'robots', 'science', 'solar system', 'technology', 'universe']",1374091,66
Stefan Sagmeister: The power of time off,"Every seven years, designer Stefan Sagmeister closes his New York studio for a yearlong sabbatical to rejuvenate and refresh their creative outlook. He explains the often overlooked value of time off and shows the innovative projects inspired by his time in Bali.","['seven', 'year', 'designer', 'stefan', 'sagmeister', 'close', 'new', 'york', 'studio', 'yearlong', 'sabbatical', 'rejuvenate', 'refresh', 'creative', 'outlook', 'explain', 'overlook', 'value', 'time', 'show', 'innovative', 'project', 'inspire', 'time', 'bali']","['TED Brain Trust', 'adventure', 'art', 'creativity', 'design', 'happiness', 'innovation', 'work']",2956967,158
